Match,Teams,Result
2020/9/26 SUP VS MAD,SuperMassive Esports,1
2020/9/26 TL VS LGC,Legacy Esports,0
2020/9/26 TL VS LGC,Team Liquid,1
2020/9/26 UOL VS PSG,PSG Talon,0
2020/9/26 UOL VS PSG,Unicorns Of Love.CIS,1
2020/9/26 V3 VS UOL,Unicorns Of Love.CIS,1
2020/9/26 V3 VS UOL,V3 Esports,0
2020/9/27 LGD VS V3,LGD Gaming,1
2020/9/27 LGD VS V3,V3 Esports,0
2020/9/27 PSG VS V3,PSG Talon,1
2020/9/27 PSG VS V3,V3 Esports,0
2020/9/27 R7 VS UOL,Rainbow7,1
2020/9/27 R7 VS UOL,Unicorns Of Love.CIS,0
2020/9/27 UOL VS LGD,LGD Gaming,0
2020/9/27 UOL VS LGD,Unicorns Of Love.CIS,1
2020/9/27 UOL VS PSG,PSG Talon,1
2020/9/27 UOL VS PSG,Unicorns Of Love.CIS,0
2020/9/27 V3 VS LGD,LGD Gaming,1
2020/9/27 V3 VS LGD,V3 Esports,0
2020/9/28 INTZ VS TL,INTZ,1
2020/9/28 INTZ VS TL,Team Liquid,0
2020/9/28 LGC VS SUP,Legacy Esports,1
2020/9/28 LGC VS SUP,SuperMassive Esports,0
2020/9/28 MAD VS INTZ,INTZ,0
2020/9/28 MAD VS INTZ,MAD Lions,1
2020/9/28 MAD VS LGC,Legacy Esports,1
2020/9/28 MAD VS LGC,MAD Lions,0
2020/9/28 SUP VS TL,SuperMassive Esports,0
2020/9/28 SUP VS TL,Team Liquid,1
2020/9/28 TL VS LGC,Legacy Esports,0
2020/9/28 TL VS LGC,Team Liquid,1
2020/9/29 R7 VS LGD,LGD Gaming,3
2020/9/29 R7 VS LGD,Rainbow7,0
2020/9/29 SUP VS MAD,MAD Lions,2
2020/9/29 SUP VS MAD,SuperMassive Esports,3
2020/9/30 LGC VS LGD,Legacy Esports,0
2020/9/30 LGC VS LGD,LGD Gaming,3
2020/9/30 UOL VS SUP,SuperMassive Esports,0
2020/9/30 UOL VS SUP,Unicorns Of Love.CIS,3
2020/9/5 DWG VS DRX,DAMWON Gaming,3
2020/9/5 DWG VS DRX,DRX,0
2020/9/7 AF VS KT,Afreeca Freecs,3
2020/9/7 AF VS KT,KT Rolster,0
2020/9/8 T1 VS AF,Afreeca Freecs,1
2020/9/8 T1 VS AF,T1,3
2020/9/9 GEN VS T1,Gen.G,3
2020/9/9 GEN VS T1,T1,0
2020/9/9 GEN VS T1,总计,1360
