Match,Teams,Result
2020/2/23 LSB VS DWG,DAMWON Gaming,0
2020/2/23 LSB VS DWG,SANDBOX Gaming,2
2020/2/26 KT VS LSB,KT Rolster,2
2020/2/26 KT VS LSB,SANDBOX Gaming,1
2020/2/26 T1 VS GRF,Griffin,0
2020/2/26 T1 VS GRF,T1,2
2020/2/27 GEN VS AF,Afreeca Freecs,1
2020/2/27 GEN VS AF,Gen.G,2
2020/2/27 HLE VS DWG,DAMWON Gaming,2
2020/2/27 HLE VS DWG,Hanwha Life Esports,1
2020/2/28 SP VS DRX,DRX,2
2020/2/28 SP VS DRX,SeolHaeOne Prince,0
2020/2/28 T1 VS LSB,SANDBOX Gaming,0
2020/2/28 T1 VS LSB,T1,2
2020/2/29 DWG VS AF,Afreeca Freecs,2
2020/2/29 DWG VS AF,DAMWON Gaming,1
2020/2/29 KT VS HLE,Hanwha Life Esports,0
2020/2/29 KT VS HLE,KT Rolster,2
2020/2/5 KT VS Gen.G,Gen.G,2
2020/2/5 KT VS Gen.G,KT Rolster,1
2020/2/5 T1 VS DWG,DAMWON Gaming,1
2020/2/5 T1 VS DWG,T1,2
2020/2/6 GRF VS AF,Afreeca Freecs,2
2020/2/6 GRF VS AF,Griffin,0
2020/2/6 SB VS SP,SANDBOX Gaming,2
2020/2/6 SB VS SP,SeolHaeOne Prince,0
2020/2/7 DRX VS KT,DRX,2
2020/2/7 DRX VS KT,KT Rolster,1
2020/2/7 HLE VS T1,Hanwha Life Esports,2
2020/2/7 HLE VS T1,T1,1
2020/2/8 GEN VS GRF,Gen.G,2
2020/2/8 GEN VS GRF,Griffin,0
2020/2/8 SP VS DWG,DAMWON Gaming,2
2020/2/8 SP VS DWG,SeolHaeOne Prince,0
2020/2/9 AF VS HLE,Afreeca Freecs,2
2020/2/9 AF VS HLE,Hanwha Life Esports,1
2020/2/9 SB VS DRX,DRX,2
2020/2/9 SB VS DRX,SANDBOX Gaming,1
2020/3/1 DRX VS GRF,DRX,2
2020/3/1 DRX VS GRF,Griffin,0
2020/3/1 GEN VS SP,Gen.G,2
2020/3/1 GEN VS SP,SeolHaeOne Prince,0
2020/3/10 DMO VS LGD,Dominus Esports,2
2020/3/10 DMO VS LGD,LGD Gaming,0
2020/3/10 SN VS ES,eStar,2
2020/3/10 SN VS ES,Suning,1
2020/3/11 IG VS VG,Invictus Gaming,2
2020/3/11 IG VS VG,Vici Gaming,0
2020/3/11 RNG VS OMG,Oh My God,1
2020/3/11 RNG VS OMG,Royal Never Give Up,2
2020/3/11 V5 VS WE,Team WE,2
2020/3/11 V5 VS WE,Victory Five,0
2020/3/12 BLG VS LNG,Bilibili Gaming,1
2020/3/12 BLG VS LNG,LNG Esports,2
2020/3/12 EDG VS SN,EDward Gaming,0
2020/3/12 EDG VS SN,Suning,2
2020/3/12 ES VS LGD,eStar,2
2020/3/12 ES VS LGD,LGD Gaming,0
2020/3/13 DMO VS FPX,Dominus Esports,0
2020/3/13 DMO VS FPX,FunPlus Phoenix,2
2020/3/13 OMG VS RW,Oh My God,2
2020/3/13 OMG VS RW,Rogue Warriors,0
2020/3/13 WE VS VG,Team WE,2
2020/3/13 WE VS VG,Vici Gaming,0
2020/3/14 BLG VS SN,Bilibili Gaming,0
2020/3/14 BLG VS SN,Suning,2
2020/3/14 ES VS ESG,EDward Gaming,2
2020/3/14 ES VS ESG,eStar,0
2020/3/14 V5 VS JDG,JD Gaming,2
2020/3/14 V5 VS JDG,Victory Five,0
2020/3/15 RNG VS WE,Royal Never Give Up,2
2020/3/15 RNG VS WE,Team WE,0
2020/3/15 RW VS IG,Invictus Gaming,2
2020/3/15 RW VS IG,Rogue Warriors,1
2020/3/15 TES VS LGD,LGD Gaming,2
2020/3/15 TES VS LGD,Top Esports,0
2020/3/16 BLG VS OMG,Bilibili Gaming,1
2020/3/16 BLG VS OMG,Oh My God,2
2020/3/16 ES VS V5,eStar,2
2020/3/16 ES VS V5,Victory Five,0
2020/3/16 VG VS JDG,JD Gaming,2
2020/3/16 VG VS JDG,Vici Gaming,1
2020/3/17 RW VS EDG,EDward Gaming,1
2020/3/17 RW VS EDG,Rogue Warriors,2
2020/3/17 WE VS FPX,FunPlus Phoenix,2
2020/3/17 WE VS FPX,Team WE,0
2020/3/18 JDG VS BLG,Bilibili Gaming,0
2020/3/18 JDG VS BLG,JD Gaming,2
2020/3/18 TES VS VG,Top Esports,2
2020/3/18 TES VS VG,Vici Gaming,1
2020/3/18 V5 VS LNG,LNG Esports,2
2020/3/18 V5 VS LNG,Victory Five,1
2020/3/19 FPX VS SN,FunPlus Phoenix,2
2020/3/19 FPX VS SN,Suning,0
2020/3/19 IG VS LGD,Invictus Gaming,2
2020/3/19 IG VS LGD,LGD Gaming,1
2020/3/19 WE VS DMO,Dominus Esports,0
2020/3/19 WE VS DMO,Team WE,2
2020/3/20 EDG VS JDG,EDward Gaming,2
2020/3/20 EDG VS JDG,JD Gaming,1
2020/3/20 LNG VS RW,LNG Esports,2
2020/3/20 LNG VS RW,Rogue Warriors,0
2020/3/20 RNG VS VG,Royal Never Give Up,0
2020/3/20 RNG VS VG,Vici Gaming,2
2020/3/21 BLG VS ES,Bilibili Gaming,1
2020/3/21 BLG VS ES,eStar,2
2020/3/21 IG VS TES,Invictus Gaming,2
2020/3/21 IG VS TES,Top Esports,0
2020/3/21 OMG VS DMO,Dominus Esports,0
2020/3/21 OMG VS DMO,Oh My God,2
2020/3/22 LGD VS SN,LGD Gaming,1
2020/3/22 LGD VS SN,Suning,2
2020/3/22 RNG VS FPX,FunPlus Phoenix,2
2020/3/22 RNG VS FPX,Royal Never Give Up,0
